cleaned_text,mapped_label,predicted,confidence
"The content is really an interesting topic that I'm sure a lot of learners with enjoy. However, the way it is presented needs a lot of work. First, the slides are not masterfully made; proper word count and transitions are not applied. Second, the length of the lessons are not conducive to learning, it needs to be trimmed to shorter lessons or even be cut. Third, it is repetitive and there's too much focus on the unnecessary, the lecture needs to be reviewed. Cracking the creativity code is an interesting topic. However, the lessons were not presented creatively enough.",Neutral,Negative,0.5115955830859493
"I liked pretty this course. I learnt some useful skills and tactics in order to develop a negotiation. As a negative point, I found lack of examples so that understand better the theoretical issues as well as to remember better.",Neutral,Positive,0.7022137955756984
If you are a beginner in OO not recommend .,Neutral,Negative,0.5236463498148104
Course contents are not very well organized.,Neutral,Negative,0.4928195719581756
More detailed insight of topics is required is what I felt. On the whole a great resource to the student community who want to start their microcontroller exploration through Arduino.,Neutral,Positive,0.8308926452578499
"Awesome, not awful;)",Positive,Negative,0.6726425214123538
Still waiting for my assignment grades for weeks 1-3 despite having had many people mark these.,Neutral,Positive,0.6100990876356469
Starting place to begin in continuing your horizons,Neutral,Positive,0.69086175348703
The links provided are informative.,Neutral,Positive,0.7237216875683291
"The course focused too much on careers in SEO, and the required personality traits. SEO is part of many other career streams, so spending 1/2 of the course on SEO as a career was a complete waste of time for me. Did enjoy the historical walk-through of the GA algorithm, and the point to refocus on. Thanks",Positive,Negative,0.5023022451050703
Repetitive and surprisingly dry course.,Neutral,Positive,0.43047791363927373
Could have been more practical.,Positive,Neutral,0.46069836488261645
"I felt this module, like most, represented good value for money. It's obviously not exhaustive, but you shouldn't expect it to be for the price.The final quiz was a nice challenge and struck a good balance between course material and requiring you to research information online.",Positive,Neutral,0.3876217758763021
Awful teacher and explanation and material,Negative,Positive,0.548773912915178
too easy quizes(,Positive,Neutral,0.5803510866258489
"I like the materials, but I don't like that you need to pay to take the quizzes. I think that it is against the spirit of Coursera because it limits the experience of user who are willing to learn but don't have enough money to pay for the course. Many other courses allow you to take quizzes and do projects whitout paying",Neutral,Negative,0.5501788262211101
Nice course for practical knowledge of new marketing concepts / possibilities through the changing digital environment.,Neutral,Positive,0.890785403959783
"It is a very entertaining broad introduction to the topic of philosophy in general. The lecturers are very knowledgeable and are very good teachers. However, I wish there would be a more detailed treatment of the topics in question. I look forward to their future course on Philosophy of Science, as I believe that by focusing on a more narrow topic, they will be able to go a bit more in depth.",Neutral,Positive,0.6079247160963455
A disconnect between Video Lecture - Transcript (horrid form !) - Slides - Test questions. Information flow should be more fluent.,Positive,Neutral,0.5381172835300008
"nice lecture, but it is really too short, not into too much details.",Positive,Neutral,0.45214623850764457
starting to like this,Negative,Positive,0.8040360367489771
Pros:Basics were explained well.A good kick start for beginners who are travelling towards learning Project planning and management.Cons:Wish we had assignments to practice MS Project to a certain extent.Some of the Quiz questions were confusing (Esp. the 3rd week quiz),Neutral,Positive,0.54567004702134
"Good course, good introduction to Public Relations!!!",Neutral,Positive,0.9126833136083198
"The information in the videos was very interesting and well presented. I feel like I learned a lot. However, the quizzes and tests seemed to be of a very different level, and often covered material that was hardly discussed in the lectures. I understand that students are expected to do independent learning of material, but the gulf between lectures and test difficulty was extreme. If others were interested in learning about the basics of music theory, I would not recommend this course.",Negative,Neutral,0.4853049350569792
"Generally good, but exercises in Week 3 & 4 have not been proofread and are full of mistakes. Too bad.",Neutral,Negative,0.5447693185109449
"Lightweight and marginally informative. While it is clearly aimed at a lay audience, a deeper presentation of the scientific foundations of the disorder is sorely needed. If you're interested in the etiology of autism, you'll need to look elsewhere.",Negative,Positive,0.4667985828264427
Great teacher and great content BUT I just wish that it would have been more abundant with information. it seemed for times maybe too short.,Positive,Neutral,0.5726399095359394
"If you can't program at all this is an excellent course, If you know how to program in any language this course is not for you.",Neutral,Positive,0.5157291605979251
"It was good overall, some of the course materials were a bit sparse. You had to do your own research into getting packages working in spyder etc.I'd probably recommend that learners learn some python separately and read the docs for pandas.",Neutral,Positive,0.6480320037865156
Where do I start?,Negative,Positive,0.632173670642953
"The course was very interesting. It touched upon all currently employed techniques in good detail. The lab-based videos were the most interesting. However, the lectures were too long. It would be a brilliant course if the lectures were cut short and made to the point.",Neutral,Positive,0.48126652660524
This was a giant advertisement and got tiresome very quickly.,Negative,Positive,0.6026066971263707
"One of the best lecture series for beginners like me. Some of the statistical concepts should have been explained better, but once you get past that, you appreciate the logic in the trading system.",Neutral,Positive,0.6746151748749769
It's better to watch the Youtube videos to understand the concepts.,Negative,Positive,0.4962721505581514
Too easy. Making it harder and more realistic would have been better for me.,Positive,Neutral,0.5800357161978873
"highly recommended for newbs in any kind of development, otherwise waste of time.",Neutral,Positive,0.5050865819922744
"Lots of very general review information, not much new stuff. Did force me to start getting familiar with gitHub.",Neutral,Positive,0.491283100804998
Informative but did not really feel like it was of any use.,Negative,Neutral,0.516836351671491
Nothing can be better than this.........,Positive,Negative,0.6008758685598671
"The course materials are great, but the Excel videos and its background audios are poor, it need update to compare with characters videos.",Neutral,Negative,0.4256552965832629
I think it can further explore the libraries and constructs of the algorithms.,Neutral,Positive,0.7979136597350197
"I will give it a 3* review as I really enjoyed and learned a lot in the HTML and CSS part (first 2 weeks), but the java script is really poorly covered. It is too hard and with no ""translations"" on what the hell is going on. The Duke University team is good and they obviously know what they are doing, but they need to review this course and make it more simpler... :)",Neutral,Negative,0.49281535392886516
Great informative course,Neutral,Positive,0.9933912962580996
"So the course is a mixed bag.PROS: The lecture content is useful, albeit a bit dry. I can't give them too much slack for the dryness, after all it's coding. However, they could have shown more real-time coding, rather than just scrolled through powerpoints with the Command Window pasted. You definitely need to have R open when following along with the lectures. The quizzes are also quite useful, as you're required to know both the background of how things work and use the commands learned from the lecture.CONS: The assignments assume you know a lot more than the basic knowledge, and there's no real way to know how to do the assignments just from the lectures. The quizzes tend to be on the easy side and the assignments ramp things up quite quickly. There's no intermediate material to test your skill. You have to have worked in R to have even a minor chance at succeeding on the assignments.",Neutral,Negative,0.5024268041585146
"I like this course very much, I dropped out once because some of the homework questions are not quite obvious for me. After refer to other material, I survived the course. Frankly speaking, I am still not familiar with most of the contents. But this course displayed a vivid picture of MCMC. I will keep learning the subject in the future.The discussion session is too quiet, maybe I should have asked more questions.",Positive,Negative,0.4800164601722093
"Love the projects and classes!, but i was expecting more interaction with the teacher due that we found some bugs in the content , we were able to solved using the forum, but i was expecting that the teacher step up",Positive,Neutral,0.4125909283297611
The content is great! But the rearrangement of lectures is not synced with intros at the beginning of some videos. I know it takes a lot of time and effort to make or alter a video. After all it doesn't affect much.,Positive,Negative,0.44300586491401645
"The narration and content are excellent. The clarity of the slides has given neat direction steps to installing the software. However, I was not able to co relate the Command Line Interface with the R console after installation. I was overwhelmed with the huge list of commands immediately after software installation. The Week 3 videos have great information but lacks a coherence with the remaining course content.",Positive,Negative,0.4589328139597645
cheap !!! just money involved in each subsectionswhich r the most interesting parts,Negative,Positive,0.5866643277008047
It assusmes quite a lot of things about web programming... and the assignments were too complex to just practice what we should learn in an introductory course.,Negative,Positive,0.7486313485933084
Quite easy for me,Neutral,Positive,0.7950187911547506
"$38 is a lot to pay for tutorials about how to install software. This course takes only 20 minutes to complete. It is also obsessed with command line interfaces. There's a reason that they were left behind in the 80s. It does cover GUI software like Rstudio, which is ignored for the rest of the course. How about something on the desktop Github version? https://desktop.github.com/ So much easier to use.",Negative,Neutral,0.3990340890714569
Not as useful as the first course. The part on the futures is not really understandable.,Neutral,Negative,0.4616946688406866
Great content but animations are annoying!,Neutral,Positive,0.4549606474460637
"There was some really great information presented, but mixed in with tangential and unimportant sources (I don't care about the fashionable aspects of IoT!!)",Neutral,Positive,0.5971094965336639
slow pace but still ok,Positive,Neutral,0.5947298987200452
"I would like to have more example, it feels there is mostly theory. The quizzes were super easy, I dropped out at final project, I couldn't get through the first questions. The course (and especially the final project) requires a good basis in statistics beforehand.The assistants are super helpful and patient.",Neutral,Negative,0.3660910572592582
A broad collection of different subjects. But only a part of it met my interests.,Neutral,Positive,0.5093557997986378
Movies were very interesting and planning to watch all of them with new perspective.Wish the summaries and important texts in the lecture was available as slides helping for quick review and recall.The same constant tone of voice made it difficult to keep awake and focus on the contentWished for more reading material each week rather than same book link.,Positive,Neutral,0.4040636195017593
"There should be more multiple choice questions; 20+ instead of just 5 questions.There should be more MCQ tests. 5+ instead of just one.There should be more assignments. 3+ instead of just one. Make it one easy, one medium and one hard.There should be more optional assignments. 5+ instead of just one.I know you guys are working hard as it is, but we learn by doing, not by listening or watching. Just food of thought.",Positive,Negative,0.4782051478126419
"The teacher is a litlle abstract. Maybe he would improve himself if he would give more tangible things, as methods.",Positive,Neutral,0.4301908081433743
"The staff of this course is really nice, that's the best part of it. Unfortunately, in my opinion this course is not intended for real beginners. From class one I struggled trying to understand what was going on. This may be because instead of just using a typical ide like eclipse or netbeans, they use bluejay, which works different than the rest of ides. In addition, programs used in the course are pretty confusing (If you know 0 Java). I learned most of the basic concepts (classes, methods) for whole week 1 from a single 15 minute video-course from youtube without all the struggling. As I mentioned this only applies if you are a total newbie, if you already know some Java I think you'll be fine.",Neutral,Negative,0.456335657461329
"The course content was very interesting, however, the way it was presented was very dull and monotonous. The script was great - very insightful and informative, but having the presenter talk for the whole lecture without more frequent use of diagrams, figures, etc. to help understand the concepts is not helpful and incomprehensible to me. Specially when it comes to a course with so much geographical content, it would be good to have a more consistent depiction of maps. Furthermore, with all the new concepts, visual aid would help students understand what things are and what they look like since the backgrounds chosen for the lectures have little or nothing to do with the course whatsoever.On the other hand, I do think that the questions throughout the videos are extremely useful as they (usually) tackle problems that were not mentioned previously and gets the student to think independently. Finally, the end of lesson tests always have one or two challenging questions which is great. This course has a 5 star potential, so I hope the reviews are being read so they can work towards that goal!",Neutral,Negative,0.37968041235829036
Not for beginners unless ready to spend lots of extra hours watching the videos several times and surfing on the web to get additional information,Negative,Neutral,0.37857937993388385
"I liked this course alot.If you are a student and come from the previous course, you may only read the cons, since this course has the same spirit as the previous.Pros:1. The lectures contain quite a good material which is somehow difficult and they made me to pay attention. The lectures are based on dasgupta's book and MIT course book.2. There are links to additional materials, I found the dijkstra's book and MIT course book, so I was able to gain extra information for topics which interested me.Also slides are very useful3. The forum! This course has a life forum where you can find help or share your ideas.4. The teaching stuff! They are answering student questions and taking part in discussionsCons:Having compared this course with the previous one from the set, this course suffers from luck of interesting problems. The previous course has more than ~25 problems and for each module it has advanced problems,even more they added extra problems during the course running.This course has ~12 problems and only one advanced for the whole course!. Only this advanced problem made me take a piece of paper and a pen and draw trees, and play with toy examples. Only for this problem I wrote a stress test. That is the most fun for me of studying!If this course didn't have this advanced problem, I would barely give it 3 stars.P.S.Theaching stuff, please conider to add extra problems, the first course is awesome and it is way too good. This course is good, but it think you may develop it not only the first one. Otherwise students may get dissapointed if they come from the previous course.I hoped that you would have added extra problems, so I slowed down, my expectation didnt come true :(",Positive,Neutral,0.4274595177288785
Informative summary of smartphone development and pertinent technologies,Neutral,Positive,0.7252525300044496
"This course is very good at explaining both how and why you would do things a certain way in Unity, something that is missing from most of the tutorials you can find out on the Internet. The professor explains concepts behind why you need to use certain components instead of just giving a list of things to match up to replicate the projects. I've rated it 4 out of 5 stars not based on the content, but because the response time, interaction, and feedback could be improved upon. The content is definitely 5 of 5. I took this during the first run of the course, so I'm sure that the course staff will improve on this in the future once they get a bit more used to running a MOOC on Coursera.",Positive,Neutral,0.40830797356678855
"A bit more actual programming would be good rather than minor tweeking of existing code. Overall, a good basic into to relational database with Python.",Positive,Neutral,0.5459731915694219
"While informative I question the value of memorizing release years of os updates. Then again, it was an easy entry into the broader specialization. I think it is always a good thing to ease students in with a less challenging intro course much like a video game begins with an easy level and slowly gets harder.",Neutral,Positive,0.7632481796468084
The course is too short and not really detailed but very informative. And too bad you can receive a Statement of Accomplishment.,Positive,Neutral,0.4658027129122354
"This course is not for absolute beginners. Even though I passed every exam and assignment, I found this course extremely difficult. I found myself having to rely on other lectures on python and book and internet blogs. This course is not a stand alone course as it if stated.I wish that there were more exercises where you could practice the lesson that was learned. I think each lesson should be accompanied by an optional exercise.",Neutral,Positive,0.38846972569041427
"bunch of information, but the videos are tedious",Negative,Neutral,0.5050371625583128
"Great course, maybe with one more week they can cover another js data types or even jquery lib",Neutral,Positive,0.8021827930515314
So much better than in the first version of the specialization! the peer reviewed project is a welcome addition to help understanding map reduce concepts,Positive,Negative,0.41532563257679733
"lack of organization, most of the course is readings, lack of case studies, acceptable in general, one of the rare courses in project management anyway",Positive,Neutral,0.497064018012177
"Sometimes the correct answers were not provided, which made the assignments difficult to learn from.",Positive,Neutral,0.3943408104819584
too brief to learn,Negative,Neutral,0.4152525638439012
"Decent course, need some work material to get a better grip on it!",Positive,Neutral,0.5668668854517748
Course and assignments were very easy. Could have been more challenging if assignments were little difficult.,Neutral,Positive,0.5667229284554283
"While the subject is interesting, the professor sometimes makes it confusing and dense to understand the basic ideas.Maybe this course does need a mathematic or economic background...",Neutral,Positive,0.42413488286954176
"I was really, really hoping that this course would be educational. I personally work with an individual with AS and I excepted to have a better insight into some of the things he goes through. So far, however, I have found many of the lectures condescending. As a person with a disability I find it highly offensive when people speak like they're doing the person with whatever kind of disability a favor for even helping them. People with disabilities are just that, people.",Negative,Positive,0.4641771209468789
"Good course for a free one. Thank you for all of your great work. Somehow, the pace is too fast. Covering about 2 sections per week is by far too hard to read the book along with the class. There's no practice exercise to strengthen what you learn. The assignment is very hard and sometime don't directly implement the knowledge you learn in that week. Sometime the video sound is too quiet (but you can read the transcript when it happened.) The book is better in my opinion.",Neutral,Negative,0.45772813362330994
A good introduction to some of the basics. The presentation was generally okay; the course materials could have been organised a little better. Requires no previous accounting knowledge (though that helps) and only very basic math.,Positive,Neutral,0.6096344885982228
"There are many redundant aspects in the course. Installation instructions were for outdated OS. I did learn the basics how to program in Python though, and that's a good thing.",Positive,Negative,0.3707609142171493
The course was very informative. Could have been better if more reading materials along with more real life scenarios were included,Positive,Neutral,0.5146119391317494
"Good introductory course! It gives an overview of the global financial market-as the course name suggests. The math problems are a bit hard though. Improvement can be made for the pop up quiz during the lecture--it suddenly cut the lecture; thus disrupting my concentration. It think it needs to be properly placed during the lecture so as to help in reviewing the lesson, not disrupt the student's focus.",Positive,Neutral,0.5219959990829782
Has good collection of resources for improvement of communication skills,Neutral,Positive,0.5935703975184116
A very good and thought provoking course.It is a re-run of an archived course and sadly a number of reference materials that had been on the dashboard are not reposted with it. Also there are references to discussion forums that don't exist. If the missing material and content were up to date it would be a strong and complete course.,Negative,Positive,0.4409125170301268
The content covers very good the most important theories and concepts in macro economy and explains in detail the relationship between them. I wish the course would take more advantage of interactive multimedia tools in order to support the spoken word with visual means.,Neutral,Positive,0.6696103630641014
"Overall I learned a lot. The course covered the topic of HTML 5 and the concepts behind the internet (hosting, protocols, DNS, etc.)I like that it was purely quiz/project based and no grading was done as peer review. However, occasionally (about 1/20) some of the quiz problems were just plain wrong. Also, the final project was a bit too strict and needed more fuzzy logic for the parser. One could produce visually identical and 100% valid results and still not get a perfect score. That seems a bit flawed to me. However, if you really want to labor on it, you can just give the quiz what it wants and eventually get a full score.All-in-all, I would recommend the course.",Positive,Neutral,0.5756187835322185
"I was a little confused because for having a focus on ""Science and Philosophy"", it seemed to me to mostly talk about science and religion through a philosophical lens. The last module was very scattered and hard to follow. Other than that, very interesting, well-presented material.",Neutral,Positive,0.47480572658476367
A surface level look into creating a SQL database with Python. Skims over topics quickly and does not go into depth on how to write code effectively or build a database from scratch.,Neutral,Negative,0.47640614954329397
"Teaching quality is good, but more example needed.",Positive,Neutral,0.4991644670175928
A little Difficult to understand,Positive,Neutral,0.3531578944526315
"While this topic is interesting, and course goes over some examples. I feel course lacked depth, and didn't really answers main question: how to find business model, or gave case studies of business model. Just reiterated obvious examples, which is common knowledge.Topic : 10/10Quality: 4/10Presentation: 5/10",Neutral,Negative,0.49265754637527515
"Sorry for my English.So many people looking forward to take this course and was very cold, robotic... full of theoretical and repetitive texts.",Negative,Positive,0.7871228742160039
Another winner from Coursera!,Positive,Negative,0.42943425199644714
Coursera lost my thoughtful 2-star review so I am replacing it with this. I learned a lot through my own efforts and through the efforts of students who bothered to post in the forums. The one mentor disappeared half-way through the course.,Negative,Positive,0.8426205392961456
Very difficult !!,Positive,Negative,0.5060889888028614
Not easy. But nothing easy in academics changes who you are.,Positive,Negative,0.3880716706745799
There's just something about the course content that is difficult to attain. It's presented at way too high of a level without enough tangible examples of getting down into the weeds of how to actually perform and interpret the models and functions.,Neutral,Negative,0.5550586372160801
I missed something more about the last lessons. Some achievements like in the previous.,Positive,Neutral,0.5643889842546597
"Despite having high quality contents, the quantity wasn't as much as I expected. The number of videos could be a lot more.",Negative,Neutral,0.4764264063331288
"I was able to follow the course and keep the pace but I got lost on factorial ANOVA. The professor is great but the course feels rushed through. It would be great if more time was spent on actual explanation of main concepts, since many here are the beginners in stats. I will try again, hopefully will get it this time.",Neutral,Positive,0.47975461200781483
"The course is out of touch with reality and systematically underplays the Paris Agreement, progress of renewable energy and EU emissions mitigation, says absolutely nothing about climate science. At times the attitude is down right hostile and disgusting. Will share these observations widely. We are in a climate emergency and need to do everything we can. When I was taking this course, my city is going through severe flooding and the country is in yellow alert stage due to abnormal thunder storms. You should be ashamed of yourself for pushing this garbage.",Negative,Positive,0.5529685723638724
"Well presented, great communication and relevant content. The course was well designed and coordinated.",Neutral,Positive,0.959151136239048
"Long, especially the week on Iran. Really proud of myself for getting through it.",Neutral,Positive,0.7500760261634464
"This course was a great overview introduction into ASD. The information was presented so the information was not overwhelming. You begin the course by looking at ASD from a wide-lens down to details. This is recommended for anyone who is interested in learning more about ASD and then to take more details classes as needed. The videos that were part of the course were informative. There was not a lot of discussions nor was this class led by any instructor. I wished it had links to more articles or more in-depth information, especially the weeks on the developmental areas.",Positive,Neutral,0.4228859765171322
"I really enjoyed the last part of the course related to the Gesture Interaction and the practical exercise on third week, but overall I missed much more modern materials to show us. In an Input and interaction course or an Interaction speciality I do expect more other audiovisual support than a teacher and readings.",Neutral,Positive,0.6238246460260813
"Although I have passion with film, the quizzes seems to have lots of technical problems. I dropped out right on the first module",Negative,Neutral,0.40650796830172653
"Taken this course in its old fashion style. Now reviewing the new design was a little bit displacing, but I ascribe this to the fact I've done all the specialization courses in the old design.However the structure of the course is quite good. Some typos were reported, as well as a bug on the unanswered questions in quiz 3. Main worst point was the missing format of several text boxes. I would have appreciated paragraphs, bold and italic, some links, picture, not only raw plain text.Overall review is nonetheless over the average.",Positive,Neutral,0.5614412510790597
"It was interesting to a point, but there was no application of the knowledge gained. It was merely a regurgitation of facts.",Negative,Neutral,0.6138745499433352
